,MAIN,PAR_LEFT,PAR_RIGHT,LLA_LEFT,RETURN,NUM,P_COMMA,LLA_RIGHT,ID,TYPE_VOID,COMMA,INPUT,OUPUT,ENDL,IF,ELSE_IF,ELSE,FOR,LLA_RIGH,WHILE,DO,ADD_IF_CALCULATOR,OPER_ASG,OPE_RES,OPE_SUM,OPE_MAY,OPE_MEN,OPE_MA_IGU,OPE_ME_IGU,OPE_MUL,OPE_DIV,OPE_AND,OPE_OR,OPE_IGU,OPE_DIF,LITERAL,DOUBLE,CHAR,BOOL_V,BOOL_F,TYPE_INT,TYPE_DBL,TYPE_STR,TYPE_CH,TYPE_BL,$
STAR,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,,,,,,,,,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT,FUNC MAIN PAR_LEFT PAR_RIGHT LLA_LEFT SENTENCE RETURN NUM P_COMMA LLA_RIGHT
FUNC,e,,,,,,,,,TYPE_VOID ID PAR_LEFT PARAMETER_FUNC PAR_RIGHT LLA_LEFT SENTENCE LLA_RIGHT FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_ID ID PAR_LEFT PARAMETER_FUNC PAR_RIGHT LLA_LEFT SENTENCE RETURN CALCULATOR P_COMMA LLA_RIGHT FUNC,TYPE_ID ID PAR_LEFT PARAMETER_FUNC PAR_RIGHT LLA_LEFT SENTENCE RETURN CALCULATOR P_COMMA LLA_RIGHT FUNC,TYPE_ID ID PAR_LEFT PARAMETER_FUNC PAR_RIGHT LLA_LEFT SENTENCE RETURN CALCULATOR P_COMMA LLA_RIGHT FUNC,TYPE_ID ID PAR_LEFT PARAMETER_FUNC PAR_RIGHT LLA_LEFT SENTENCE RETURN CALCULATOR P_COMMA LLA_RIGHT FUNC,TYPE_ID ID PAR_LEFT PARAMETER_FUNC PAR_RIGHT LLA_LEFT SENTENCE RETURN CALCULATOR P_COMMA LLA_RIGHT FUNC,
PARAMETER_FUNC,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE_ID ID ADD_PARAMETER_FUNC,TYPE_ID ID ADD_PARAMETER_FUNC,TYPE_ID ID ADD_PARAMETER_FUNC,TYPE_ID ID ADD_PARAMETER_FUNC,TYPE_ID ID ADD_PARAMETER_FUNC,
ADD_PARAMETER_FUNC,,,e,,,,,,,,COMMA PARAMETER_FUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENTENCE,,,e,,e,,,e,STATEMENT P_COMMA SENTENCE,,,INPUT PAR_LEFT ID PAR_RIGHT P_COMMA SENTENCE,OUPUT PAR_LEFT CALCULATOR ADD_ARGUMENT_OUT PAR_RIGHT LINE_BREAK P_COMMA SENTENCE,,SENT_IF SENTENCE,,,SENT_FOR SENTENCE,e,SENT_WH SENTENCE,SENT_DW SENTENCE,,,,,,,,,,,,,,,,,,,,STATEMENT P_COMMA SENTENCE,STATEMENT P_COMMA SENTENCE,STATEMENT P_COMMA SENTENCE,STATEMENT P_COMMA SENTENCE,STATEMENT P_COMMA SENTENCE,
LINE_BREAK,,,,,,,e,,,,,,,ENDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD_ARGUMENT_OUT,,,e,,,,,,,,COMMA CALCULATOR ADD_ARGUMENT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_IF,,,,,,,,,,,,,,,IF PAR_LEFT CALCULATOR PAR_RIGHT LLA_LEFT SENTENCE LLA_RIGHT SENT_ELSEIF_ELSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENT_ELSEIF_ELSE,,,e,,e,,,e,e,,,e,e,,e,ELSE_IF PAR_LEFT CALCULATOR PAR_RIGHT LLA_LEFT SENTENCE LLA_RIGHT SENT_ELSEIF_ELSE,ELSE LLA_LEFT SENTENCE LLA_RIGHT,e,e,e,e,,,,,,,,,,,,,,,,,,,,e,e,e,e,e,
SENT_FOR,,,,,,,,,,,,,,,,,,FOR PAR_LEFT STATEMENT P_COMMA CALCULATOR P_COMMA STATEMENT PAR_RIGHT LLA_LEFT SENTENCE LLA_RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
